area label,area long label,area,"KSI casualties on England's roads per 100,000 population","KSI casualties on England's roads per 100,000 population","KSI casualties on England's roads per 100,000 population","KSI casualties on England's roads per 100,000 population","KSI casualties on England's roads per 100,000 population","KSI casualties on England's roads per 100,000 population"
area label,area long label,area,12019,12019,12019,12019,12019,12019
area label,area long label,area,"Per 100,000 people","Per 100,000 people","Per 100,000 people","Per 100,000 people","Per 100,000 people","Per 100,000 people"
area label,area long label,area,raw,raw,raw,raw,raw,raw
Cotswold,Cotswold (District),E07000079,71,64.5,71.8,72.9,86.7,84.2
Coventry,Coventry (Metropolitan borough),E08000026,37,34.8,34.1,34.3,33,34.9
Craven,Craven (District),E07000163,78.7,91.7,96.9,99.7,95.2,99.5
Crawley,Crawley (District),E07000226,34.5,38.2,38.8,42.1,41.2,44.8
Croydon,Croydon (London borough),E09000008,25.9,22.2,18.3,18.6,23.2,27.2
Cumbria,Cumbria (County),E10000006,45.7,44.5,46.9,51,57,64.6
Dacorum,Dacorum (District),E07000096,30.4,27.7,27.4,31.3,32.8,33.9
Darlington,Darlington (Unitary),E06000005,35.4,32.2,31.2,30.5,36.4,42.6
Dartford,Dartford (District),E07000107,38.1,38.5,43.8,50.5,58.7,60.5
Derby,Derby (Unitary),E06000015,33.1,34.9,34,33.7,28.2,28.1
Derbyshire,Derbyshire (County),E10000007,41.6,45.1,44.5,44.9,39.7,39.7
Derbyshire Dales,Derbyshire Dales (District),E07000035,81.7,94.3,96.1,87.4,76.5,70.5
Devon,Devon (County),E10000008,37.7,42.1,42.9,45.6,48.4,50.3
Doncaster,Doncaster (Metropolitan borough),E08000017,41.6,37.6,36.4,41.5,52.3,63
Dorset,Dorset (Unitary),E06000059,Missing,Missing,Missing,Missing,Missing,53.4
Dover,Dover (District),E07000108,33.4,34.7,36.2,43.2,50,51.8
Dudley,Dudley (Metropolitan borough),E08000027,31.3,31,29.6,31.3,31.1,30.2
Durham,Durham (Unitary),E06000047,38.5,37.5,38.3,36.7,37.8,34.6
Ealing,Ealing (London borough),E09000009,23,24.4,21.9,22.8,30.5,38.6
East Cambridgeshire,East Cambridgeshire (District),E07000009,67.7,63.2,59,58.1,59.3,67.1
East Devon,East Devon (District),E07000040,35.7,43.7,41,48.2,50.9,58.3
East Hampshire,East Hampshire (District),E07000085,64.6,60.5,61.9,63.7,62.6,60.9
East Hertfordshire,East Hertfordshire (District),E07000242,33.2,35,31.8,30.5,29.4,32.9
East Lindsey,East Lindsey (District),E07000137,83.9,76.8,67.5,72.7,77.8,83.7
East Riding of Yorkshire,East Riding of Yorkshire (Unitary),E06000011,55.8,56.1,54.1,54.2,55.9,63
