Year,suicide_rates,crimes,population,population_density,unemployment,mean_income_support,n_is_claimants,house_sales,bankruptcy,productivity,Core City,Other City,Large Town,Medium Town,Small Town,Village or smaller,gardens_perc,income_support_rate,house_sales_pp,bankruptcy_pp,no_rainy_days,inflation,previous_period_happiness_change
0.375,0.46376811594202905,0.7367533769197887,0.34344635104403554,0.35833064870210324,0.562464567770221,0.4628637059724346,0.9431702861782018,0.4650319829424307,0.5365853658536586,0.45772946859903396,0.947726306842329,0.0,0.0,0.0,0.0074851798551201125,0.04560540748386052,0.8846584546472565,0.4491973318302948,0.7898661688202718,0.5353516120842854,0.3587628865979377,0.0705469939115782,0.5286343612334798
0.375,0.5217391304347826,0.6702601510233773,0.3560057887120116,0.3554002171804702,0.6162322522991179,0.4601837672281776,0.9612340166429877,0.48848614072494667,0.6780487804878049,0.4045893719806762,0.967277877986433,0.0,0.0,0.009010663582102434,0.0,0.024696515320858283,0.8689809630459127,0.44951999250407637,0.7900580224082159,0.537307836520435,0.3587628865979377,0.0705469939115782,0.5770925110132158
0.75,0.5652173913043479,0.6686813581160811,0.24844945213975606,0.33399644060468714,0.5967142912743992,0.46209800918836125,0.9798051552668967,0.36609808102345415,0.8,0.411433172302738,0.0,0.0,0.0,0.0,0.26997423298648443,0.759489371669497,0.9104143337066068,0.4490661836031755,0.7885839069821253,0.5397742189551064,0.1999999999999998,0.35942235908331255,0.7048458149779735
0.5,0.5434782608695653,0.6709406028847087,0.2498966301426504,0.33543706864623946,0.6303103900103388,0.5302450229709034,0.9877207225492186,0.4396588486140725,0.7707317073170732,0.48752012882447715,0.0,0.0,0.0,0.23495150557331426,0.6004310988771,0.25583055878695493,0.9675251959686451,0.4495863914821324,0.7933252360183294,0.5382109746930595,0.24742268041237114,0.6790612497826604,0.6079295154185022
0.5,0.6376811594202899,0.6747068209431586,0.23589001447178,0.3329892955148032,0.6836004295936834,0.5413476263399689,0.9824436776943374,0.40746268656716417,0.7414634146341463,0.2882447665056359,0.0,0.0,0.0,0.0,0.4747106622086041,0.5770968274268741,0.9451287793952967,0.44870500972020694,0.7936947175964817,0.5353218210361068,0.24742268041237114,0.6790612497826604,0.356828193832599
0.875,0.6014492753623188,0.6697247144195534,0.28111432706222866,0.3369198354120759,0.7053422800246675,0.5386676875957119,0.9424599147554293,0.3402985074626866,0.8341463414634147,0.5132850241545899,0.0,0.0,0.880204977295213,0.0,0.0030811277195798275,0.11705015347928663,0.9697648376259798,0.448401643823188,0.7875093930032563,0.5399772641151952,0.7855670103092782,0.2570927969789797,0.5726872246696035
0.375,0.5652173913043479,0.6914819813977706,0.36350010336985733,0.37215094301030843,0.40976510791790216,0.5206738131699846,0.965902171706921,0.43518123667377395,0.7658536585365854,0.4919484702093403,0.07131436079228538,0.0,0.2939772924465157,0.5460234217483078,0.1434783430483193,0.020557029177718837,0.9462486002239643,0.4496052914406773,0.7892054632687996,0.5383521172994858,0.3587628865979377,0.0705469939115782,0.40969162995594705
0.5,0.5507246376811594,0.6792270359812909,0.24483150713252017,0.3363682780199813,0.645037049362086,0.49732006125574263,0.9880251674446926,0.37142857142857144,0.7121951219512195,0.4991948470209342,0.0,0.009840084043422436,0.0,0.4295031307113559,0.44647293850930203,0.20986342943854325,0.9339305711086228,0.44953371557623606,0.7890553146761267,0.5345855694692905,0.24742268041237114,0.6790612497826604,0.48458149779735676
0.25,0.5507246376811594,0.6968595056356691,0.26772793053545585,0.3456311364980693,0.492217718903726,0.2810107197549767,0.9790947838441243,0.42942430703624734,0.7853658536585366,0.3917069243156207,0.0,0.0,0.4560643229982817,0.3072781745627348,0.16364522974586307,0.12446370484043531,0.902575587905935,0.4493937498554157,0.7910340927166364,0.5387823854977141,1.0,0.1561784612973196,0.6343612334801765
0.375,0.4927536231884058,0.7219010185134875,0.2296361381021294,0.3337460046425493,0.5709281013032009,0.5524502297090345,0.9714836614572763,0.3812366737739872,0.6634146341463415,0.3965378421900164,0.0,0.27530205902336713,0.0,0.3102781488720145,0.20828721802192418,0.26278396502318985,0.9798432250839866,0.4461778647630468,0.7920293174530463,0.5225225225225226,0.3587628865979377,0.0705469939115782,0.5374449339207048
0.5,0.5144927536231885,0.7096761380154247,0.32411618771966094,0.341142667089075,0.6259460886445424,0.5405819295558956,0.9798051552668967,0.45927505330490404,0.7804878048780488,0.4810789049919491,0.0,0.0,0.8504358986217742,0.0,0.08351163644686653,0.07516649708630099,0.9384098544232924,0.44971811861274746,0.7900702769739562,0.5385365853658537,0.24742268041237114,0.6790612497826604,0.5066079295154183
0.875,0.572463768115942,0.7153338400109512,0.23097994624767418,0.33322413908708126,0.682056200730385,0.5076569678407348,0.9801096001623707,0.3187633262260128,0.7902439024390244,0.4384057971014493,0.0,0.0,0.0,0.0,0.26997423298648443,0.759489371669497,0.9104143337066068,0.44786757855223536,0.7816088026243849,0.5403225806451614,0.7855670103092782,0.2570927969789797,0.7356828193832596
0.75,0.5652173913043479,0.8385500771952759,0.18896009923506304,0.31318772956675694,0.6562076813185105,0.44869831546707456,0.9903592449766593,0.35628997867803835,0.8292682926829269,0.40821256038647347,0.0,0.0,0.9943029562843492,0.0,0.0020644500196168904,0.003857897194583138,0.9395296752519597,0.4502324444263346,0.7883605819709014,0.5354663036078966,0.1999999999999998,0.35942235908331255,0.49779735682819387
0.625,0.572463768115942,0.6867375402523586,0.30013438081455446,0.33472345665435443,0.6513998952332414,0.4391271056661557,0.9920844327176781,0.30127931769722816,0.8390243902439025,0.4408212560386474,0.0,0.0,0.05477638419375623,0.0,0.33979196368290226,0.6425148062172873,0.9843225083986562,0.44992918890015554,0.7866768546818561,0.5397225725094579,0.6742268041237117,0.9999999999999998,0.5066079295154183
0.25,0.5797101449275363,0.6671738489505908,0.361277651436841,0.4094084550934613,0.56425695447998,0.3242725880551297,0.9497665922468034,0.46012793176972283,0.8146341463414635,0.48067632850241593,0.0,1.0,0.0,0.0,0.0,0.0,0.896976483762598,0.44938316507539294,0.7895801580451856,0.5389060199461067,1.0,0.1561784612973196,0.5022026431718061
0.875,0.5797101449275363,0.6684815255949493,0.3022534628902212,0.33645792541794256,0.6354964284352684,0.44486983154670723,0.9793992287395982,0.37825159914712153,0.8243902439024391,0.37761674718196436,0.0,0.0,0.0,0.17241574029211132,0.46919550504476604,0.42844305031579843,0.9238521836506159,0.4496410123947009,0.7885939599762483,0.539407120230722,0.7855670103092782,0.2570927969789797,0.5682819383259913
0.125,0.5652173913043479,0.6510970723729119,0.3125387636965061,0.38697214137308034,0.6396832185363008,0.17189892802450218,0.9035924497665923,0.34498933901918977,0.7170731707317073,0.3574879227053138,0.0,0.9972766281829024,0.0,0.0,0.0,0.0027233718170976114,0.8857782754759238,0.4481366999257733,0.7878200011138545,0.5374505013059231,0.0,0.35354277339529155,0.5814977973568279
0.375,0.4130434782608696,0.722547388429349,0.28731651850320444,0.34282515377952993,0.4777714998448007,0.48277182235834615,0.9472295514511874,0.3982942430703625,0.6000000000000001,0.41626409017713434,0.0,0.0,0.5104387851872412,0.3800583876253634,0.11985011920674792,0.04428098905928342,0.9507278835386339,0.4486754500729239,0.7892883382736693,0.5343221800620904,0.3587628865979377,0.0705469939115782,0.6123348017621144
0.25,0.5507246376811594,0.6878305732785375,0.3485631589828406,0.3483080761770171,0.4288862176419387,0.4065849923430319,0.9528110412015426,0.5520255863539445,0.7707317073170732,0.419887278582931,0.0,0.0,0.8906735788498682,0.0,0.0,0.10932642115013176,0.9529675251959688,0.4493698575864707,0.7911687055361858,0.5384005609927133,1.0,0.1561784612973196,0.6167400881057267
0.875,0.5942028985507247,0.7036340710935487,0.2662290676038867,0.33386892910402016,0.6094879942296068,0.5658499234303217,0.9782829307895271,0.3042643923240938,0.7707317073170732,0.44444444444444464,0.0,0.0,0.05477638419375623,0.0,0.33979196368290226,0.6425148062172873,0.9843225083986562,0.44934309131908345,0.7857754692910516,0.5382961124896609,0.7855670103092782,0.2570927969789797,0.43171806167400867
0.5,0.4782608695652174,0.688616196046914,0.24488319206119497,0.34384260890914703,0.627592386359139,0.47166921898927955,0.96478587375685,0.46204690831556505,0.7317073170731707,0.44967793880837365,1.0,0.0,0.0,0.0,0.0,0.0,0.8465845464725643,0.4478659037675095,0.7960200636003016,0.5357833655705997,0.24742268041237114,0.6790612497826604,0.5418502202643171
0.375,0.644927536231884,0.7037395502149594,0.32825098201364483,0.3420695769851693,0.543494301312599,0.5111026033690658,0.9725999594073473,0.35287846481876334,0.6390243902439025,0.41304347826086973,0.0,0.0,0.7768744570877347,0.0,0.06458115954063906,0.1655924402616537,0.9451287793952967,0.44960234407701966,0.7880122543168616,0.5364391477067535,0.3587628865979377,0.0705469939115782,0.5374449339207048
0.25,0.5579710144927537,0.6708132129515056,0.47674178209634066,0.4392548556859286,0.3713078896188136,0.2565084226646249,0.8927339151613558,0.5172707889125799,0.7463414634146341,0.39049919484702106,1.0,0.0,0.0,0.0,0.0,0.0,0.902575587905935,0.44922606921405966,0.7893890784173564,0.5382770337797322,1.0,0.1561784612973196,0.46696035242290734
0.125,0.5434782608695653,0.6758548796473963,0.2661773826752119,0.33563131758008563,0.6592674471755251,0.2779479326186827,0.9536228942561397,0.33134328358208953,0.8146341463414635,0.40982286634460574,0.0,0.0,0.046260932450450855,0.6003132724927577,0.25702760167507027,0.19007585858814133,0.9092945128779395,0.4483569968383076,0.786931455364799,0.5397863707874473,0.0,0.35354277339529155,0.46255506607929514
