Year,suicide_rates,crimes,population,population_density,unemployment,mean_income_support,n_is_claimants,house_sales,bankruptcy,processing,productivity,road_casualties,ofsted,infant_mortality,childhood_tooth_decay,gp_access,dental_access,Core City,Other City,Large Town,Medium Town,Small Town,Village or smaller,gardens_perc,income_support_rate,house_sales_pp,bankruptcy_pp,no_rainy_days,inflation,previous_period_happiness_change
0.875,0.5869565217391305,0.679560129358709,0.2886603266487492,0.36171980668049136,0.5884434725989145,0.48928024502297107,0.9364724984777756,0.3093816631130064,0.7317073170731707,0.5060240963855422,0.3965378421900164,,0.2697653223969012,0.5252563354338693,0.3776853776853777,,,1.0,0.0,0.0,0.0,0.0,0.0,0.902575587905935,0.44840753502428654,0.7866755305929718,0.5374464245431988,0.7855670103092782,0.2570927969789797,0.5198237885462554
0.125,0.46376811594202905,0.663003780263135,0.38019433533181723,0.45990018801122134,0.583196637434796,0.20865237366003025,0.7290440430282119,0.3699360341151386,0.6829268292682927,0.5421686746987953,0.33212560386473433,,0.4268012689065319,0.5264264583254614,0.4096327096327096,0.5721925133689832,,1.0,0.0,0.0,0.0,0.0,0.0,0.8611422172452408,0.44683908103528736,0.7882680507122969,0.5375291375291377,0.0,0.35354277339529155,0.5154185022026432
0.875,0.572463768115942,0.6854115355413917,0.2856626007856109,0.3373557024430487,0.6521974730379547,0.49310872894333835,0.9813273797442663,0.3603411513859275,0.8195121951219513,0.5180722891566266,0.4581320450885672,,,0.5601887500191135,0.3927234927234927,,,0.0,0.0,0.005568057434614418,0.739674099323548,0.10294844647848546,0.24390675033483128,0.921612541993281,0.44961272857923984,0.788161549043528,0.5395217340087173,0.7855670103092782,0.2570927969789797,0.43612334801762087
0.25,0.6739130434782609,0.6738941216130052,0.4995348356419268,0.40805206051490306,0.6611165136144799,0.23545176110260313,0.8825857519788919,0.5004264392324094,0.7463414634146341,0.4578313253012049,0.44363929146537884,0.44844318641326303,0.6031607945483544,0.4950075866638434,0.38995148995149,0.5561497326203211,0.4846938775510202,0.9993654214249269,0.0,0.0,0.0007124662689475819,0.0,0.0,0.815229563269877,0.4492178669747979,0.7891645599571602,0.5382919798790483,1.0,0.1561784612973196,0.6519823788546254
0.5,0.5507246376811594,,0.26829646475087865,0.33802965732835066,0.5933889814213509,0.5313935681470137,0.9940125837223462,0.36929637526652453,0.8,0.48192771084337355,0.009661835748792702,0.47674888799029497,,0.6206861174759029,,0.6363636363636366,0.47448979591836776,0.16923808244375782,0.0,0.06725294257458483,0.40399074536564555,0.12403702944071256,0.2931827341400655,0.948488241881299,0.44997130318081585,0.7885374803424777,0.5392545598731167,0.24742268041237114,0.6790612497826604,0.5418502202643171
0.875,0.6666666666666667,0.6765011940401715,0.21418234442836467,0.3325260820112538,0.6343054173675364,0.4429555895865236,0.9753399634666126,0.3140724946695096,0.6975609756097562,0.5180722891566266,0.4363929146537843,,0.38277511961722477,0.5600109416743395,,,,0.0,0.16024917589599394,0.0,0.4801656160121669,0.003213555890624535,0.40921466235645926,0.9283314669652856,0.4590792213228379,0.8115782522562184,0.5704295704295705,0.7855670103092782,0.2570927969789797,0.6255506607929516
0.625,0.5652173913043479,,0.23924953483564193,0.502312794777963,,0.6010719754977025,0.993809620458697,0.33539445628997866,0.775609756097561,0.4759036144578314,0.09017713365539493,0.32713303679741157,,,,0.4491978609625671,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4499421367542413,0.7857884679295447,0.5384615384615385,0.6742268041237117,0.9999999999999998,
0.625,0.5289855072463768,0.6910479445866536,0.288970436220798,0.3401068694427503,0.5274964971788823,0.5287136294027561,0.9813273797442663,0.24562899786780384,0.7707317073170732,0.4698795180722892,0.4223027375201286,0.46825717751718543,,0.4402211629735457,0.4202356202356202,0.9839572192513371,0.39795918367346983,0.0,0.0,0.46832105072071445,0.4117528194124529,0.07153420951137138,0.10121212507245363,0.9496080627099666,0.44962984237365294,0.7848323642212051,0.5383492419988771,0.6742268041237117,0.9999999999999998,0.5286343612334803
0.25,0.5434782608695653,0.6852468180448417,0.2584763283026669,0.33507964754046093,0.6230614512493223,0.4284073506891271,0.9703673635072052,0.4068230277185501,0.7414634146341463,0.4457831325301206,0.36030595813204574,0.45976546704407584,,0.6210877161086931,0.5020097020097021,0.48663101604278036,,0.0,0.0,0.6353415994721553,0.0,0.12519615915402732,0.2531255087788451,0.9451287793952967,0.4488440609202434,0.7905475880052152,0.5370808678500987,1.0,0.1561784612973196,0.6872246696035246
0.75,0.5217391304347826,0.6696638272253801,0.27584246433739923,0.3348993639716338,0.6147517017041807,0.44869831546707506,0.992693322508626,0.3991471215351812,0.8341463414634147,0.5542168674698796,0.42954911433172305,0.47472705216336414,,0.19976734443040217,,,,0.0,0.037076515970332825,0.5295590920949649,0.0,0.13774117291307147,0.3106555849576982,0.948488241881299,0.4499284354366114,0.78954802259887,0.5401157981803144,0.1999999999999998,0.35942235908331255,0.634361233480176
0.75,0.572463768115942,0.6864468501694472,0.3476328302666942,0.337868494175284,0.7722611264203822,0.5122511485451761,0.9783844124213518,0.41961620469083155,0.775609756097561,0.5361445783132531,0.3961352657004832,0.4476344520824907,,0.38320069162262393,0.3798336798336798,,,0.0,0.0,0.07339713215989063,0.3465946573033142,0.23598767232815848,0.4076651804440026,0.921612541993281,0.44974446251908073,0.7890896173754187,0.5384615384615385,0.1999999999999998,0.35942235908331255,0.6079295154185022
0.75,0.5217391304347826,0.6929568080250863,0.25987182137688647,0.3388507117350133,0.46504981050620847,0.4253445635528326,0.924802110817942,0.4328358208955224,0.702439024390244,0.5301204819277109,0.4182769726247993,0.4528912252325109,0.6039340776182881,0.7957342749715499,0.406029106029106,,,0.024108422269298223,0.0,0.3346666131896259,0.53308837089791,0.17086757769376965,0.014194508150994855,0.9507278835386339,0.44678599715860023,0.7917480520026043,0.5356019445238777,0.1999999999999998,0.35942235908331255,0.5726872246696035
0.625,0.5579710144927537,0.6763239159537646,0.5810419681620839,0.7593798691495661,0.6758517293950715,0.47970903522205166,0.9373858331641973,0.34776119402985073,0.8195121951219513,0.5000000000000001,0.16908212560386432,0.5082895268904163,0.2633028853124546,0.4600835383104919,0.4137907137907138,,0.5255102040816323,1.0,0.0,0.0,0.0,0.0,0.0,0.5946248600223965,0.44967859084946915,0.7880692064243107,0.5386587490276424,0.6742268041237117,0.9999999999999998,0.5066079295154183
